Fecha,Producto,Dia_Semana,Es_Fin_Semana,Es_Feriado,Temporada,Cantidad_Vendida,Precio
2019-01-01,Baguette,2,0,1,Verano,422,2.5
2019-01-01,Cachito,2,0,1,Verano,332,0.5
2019-01-01,Ciabatta,2,0,1,Verano,496,0.4
2019-01-01,Croissant,2,0,1,Verano,551,2.5
2019-01-01,Empanada,2,0,1,Verano,541,4.5
2019-01-01,Pan Francés,2,0,1,Verano,1167,0.3
2019-01-01,Pan de Camote,2,0,1,Verano,198,0.3
2019-01-01,Pan de Molde,2,0,1,Verano,197,6.5
2019-01-01,Pan de Yema,2,0,1,Verano,241,0.3
2019-01-01,Petit Pain,2,0,1,Verano,109,0.2
2019-01-01,Postre,2,0,1,Verano,83,8.5
2019-01-01,Torta,2,0,1,Verano,49,45.0
2019-01-02,Baguette,3,0,0,Verano,269,2.5
2019-01-02,Cachito,3,0,0,Verano,232,0.5
2019-01-02,Ciabatta,3,0,0,Verano,299,0.4
2019-01-02,Croissant,3,0,0,Verano,363,2.5
2019-01-02,Empanada,3,0,0,Verano,244,4.5
2019-01-02,Pan Francés,3,0,0,Verano,708,0.3
2019-01-02,Pan de Camote,3,0,0,Verano,163,0.3
2019-01-02,Pan de Molde,3,0,0,Verano,147,6.5
2019-01-02,Pan de Yema,3,0,0,Verano,163,0.3
2019-01-02,Petit Pain,3,0,0,Verano,90,0.2
2019-01-02,Postre,3,0,0,Verano,71,8.5
2019-01-02,Torta,3,0,0,Verano,17,45.0
2019-01-03,Baguette,4,0,0,Verano,291,2.5
2019-01-03,Cachito,4,0,0,Verano,220,0.5
2019-01-03,Ciabatta,4,0,0,Verano,329,0.4
2019-01-03,Croissant,4,0,0,Verano,388,2.5
2019-01-03,Empanada,4,0,0,Verano,241,4.5
2019-01-03,Pan Francés,4,0,0,Verano,846,0.3
2019-01-03,Pan de Camote,4,0,0,Verano,162,0.3
2019-01-03,Pan de Molde,4,0,0,Verano,178,6.5
2019-01-03,Pan de Yema,4,0,0,Verano,179,0.3
2019-01-03,Petit Pain,4,0,0,Verano,87,0.2
2019-01-03,Postre,4,0,0,Verano,73,8.5
2019-01-03,Torta,4,0,0,Verano,21,45.0
2019-01-04,Baguette,5,0,0,Verano,291,2.5
2019-01-04,Cachito,5,0,0,Verano,206,0.5
2019-01-04,Ciabatta,5,0,0,Verano,298,0.4
2019-01-04,Croissant,5,0,0,Verano,392,2.5
2019-01-04,Empanada,5,0,0,Verano,289,4.5
2019-01-04,Pan Francés,5,0,0,Verano,890,0.3
2019-01-04,Pan de Camote,5,0,0,Verano,155,0.3
2019-01-04,Pan de Molde,5,0,0,Verano,139,6.5
2019-01-04,Pan de Yema,5,0,0,Verano,221,0.3
2019-01-04,Petit Pain,5,0,0,Verano,93,0.2
2019-01-04,Postre,5,0,0,Verano,79,8.5
2019-01-04,Torta,5,0,0,Verano,22,45.0
2019-01-05,Baguette,6,1,0,Verano,407,2.5
